category,start_year,end_year,divergence,n_matched_ages,divergence_smoothed
PF_per36,1969,1983,0.25214892211175016,14,0.23436689699846708
PF_per36,1970,1984,0.23469270173410978,14,0.2346273540205314
PF_per36,1971,1985,0.2256491075753232,14,0.2381345728057546
PF_per36,1972,1986,0.22587241458008345,14,0.2436617641376934
PF_per36,1973,1987,0.25230971802750635,14,0.23933992159232959
PF_per36,1974,1988,0.27978487877144415,14,0.22820856362357217
PF_per36,1975,1989,0.21308348900729088,14,0.2136191369037701
PF_per36,1976,1990,0.16999231773153609,14,0.1984252979477133
PF_per36,1977,1991,0.15292528098107305,14,0.17937520607888918
PF_per36,1978,1992,0.17634052324722238,15,0.17400650229941336
PF_per36,1979,1993,0.18453441942732343,15,0.2113447791295738
PF_per36,1980,1994,0.18623997010991186,15,0.25288897677399574
PF_per36,1981,1995,0.35668370188233844,15,0.28521272971252865
PF_per36,1982,1996,0.3606462692031827,15,0.3109640574568675
PF_per36,1983,1997,0.3379592879398868,16,0.33585937389686377
PF_per36,1984,1998,0.3132910581490176,16,0.36608854464184726
PF_per36,1985,1999,0.3107165523098935,16,0.3705350477401941
PF_per36,1986,2000,0.5078295556072557,18,0.3708405346776875
PF_per36,1987,2001,0.3828787846949167,18,0.384929769948833
PF_per36,1988,2002,0.339486722627354,18,0.4047921562796549
PF_per36,1989,2003,0.383737234504745,19,0.3790328064477547
PF_per36,1990,2004,0.41002848396400293,20,0.3777508136987007
TS_pct,1955,1969,0.5565784676000463,11,0.5124173177087773
TS_pct,1956,1970,0.45307185830278973,11,0.5030198856790123
TS_pct,1957,1971,0.5276016272234958,12,0.49877815693434896
TS_pct,1958,1972,0.47482758958971755,12,0.458457545274336
TS_pct,1959,1973,0.48181124195569536,12,0.428241478624952
TS_pct,1960,1974,0.3549754092999816,12,0.3871766480180926
TS_pct,1961,1975,0.3019915250558694,12,0.3546506321356552
TS_pct,1962,1976,0.322277474189199,12,0.32162764544482575
TS_pct,1963,1977,0.3121975101775305,12,0.31340347362062854
TS_pct,1964,1978,0.31669630850154823,13,0.444013292988476
TS_pct,1965,1979,0.31385455017899566,13,0.5576991677379083
TS_pct,1966,1980,0.955040621895107,14,0.6722696576475113
TS_pct,1967,1981,0.8907068479363601,14,0.7807365132850042
TS_pct,1968,1982,0.8850499597255463,14,0.8487741927106537
TS_pct,1969,1983,0.859030586689012,14,0.786008816674352
TS_pct,1970,1984,0.6540429473072433,14,0.7513992457575296
TS_pct,1971,1985,0.6412137417135982,14,0.7357255089638955
TS_pct,1972,1986,0.717658993352248,14,0.725626264351739
TS_pct,1973,1987,0.8066812757573758,14,0.6391896255817275
TS_pct,1974,1988,0.8085343636282298,14,0.5463670208959452
TS_pct,1975,1989,0.221859753457186,14,0.4370919725333839
TS_pct,1976,1990,0.1771007182846861,14,0.34098387560038845
TS_pct,1977,1991,0.17128375153944195,14,0.2994203249349302
TS_pct,1978,1992,0.32614079109239835,15,0.39513506515678076
TS_pct,1979,1993,0.6007166103009387,15,0.5172960176329903
TS_pct,1980,1994,0.7004334545664387,15,0.6373244963684858
TS_pct,1981,1995,0.7879054806657336,15,0.7312271053775474
TS_pct,1982,1996,0.7714261452169193,15,0.766188458153719
TS_pct,1983,1997,0.7956538361377063,16,0.7652465149690039
TS_pct,1984,1998,0.7755233741817974,16,1.005399422078253
TS_pct,1985,1999,0.6957237386428623,16,1.1537647052302968
TS_pct,1986,2000,1.9886700162119793,18,1.286381734037812
TS_pct,1987,2001,1.513252560977139,18,1.3908682178617384
TS_pct,1988,2002,1.4587389801752826,18,1.7657880775218806
TS_pct,1989,2003,1.2979557933014287,19,1.710067592849356
TS_pct,1990,2004,2.570323036943575,20,1.7756726034734285
